title,type,example,example_type,definition
MMA,General,,Image,"An abbreviation for mixed martial arts, a combat sport in which athletes from different martial arts disciplines compete."
UFC,General,,Image,The Ultimate Fighting Championship (UFC) is the premier brand in combat sports and the driving force behind the sport of MMA.
THE OCTAGON,General,,Image,An octagon-shaped ring in which mixed martial artists compete.
KNOCKOUT (KO),General,LWE79K2Ii-s,Video,When an athlete is knocked unconscious due to strikes or other impact.
TECHNICAL KNOCKOUT (TKO),General,oemO7lzL_eI,Video,"Abbreviation for technical knockout, when an athlete is unable to continue, usually due to injury."
SUBMISSION,General,HALf3esHQJ0,Video,"When an athlete taps out or verbally concedes the match due to pain, to avoid injury, to avoid being choked out or due to a desire to end the match."
TAP OUT,General,iOSmEf-50OQ,Video,"A method in which an athlete submits to his or her opponent by tapping the opponent, themselves, or the mat. Verbal tap outs are also allowed."
CHOKE,General,bF3y3reQPEQ?start=612,Video,"A submission hold applied to the neck that restricts air flow, blood flow or both. A choke is designed to cause the other athlete to tap out or lose consciousness."
TAKEDOWN,General,HMrjxhaq8Tg,Video,Taking an opponent to the ground with a trip or throw
GROUND & POUND,General,spUu9lmjIds?start=1160,Video,"This is a strategy first employed by wrestlers with limited submission skills. It consists of taking an athlete to the ground, placing them in an inferior position and striking until the opponent is knocked out, taps out, or until the match is stopped."
DIRTY BOXING,General,WP-lFKMj7n8?start=24&end=114,Video,"This is in-close boxing from a clinched position. In traditional boxing, athletes would be separated from this position, but in MMA, they are allowed to fight from the clinch."
ESCAPE,General,O2Epw3ekpL4,Video,When an athlete escapes from a submission or choke hold.
REVERSAL (Sweep),General,cPRuNvgAFq8,Video,When an athlete moves from an inferior position into a superior position.
JAB,Striking Technique,UkufVDnBV6U?start=24,Video,"A lead-hand strike used to stun, measure distance or set up the rear-hand strike."
STRAIGHT PUNCH,Striking Technique,gfoOvT-Ut7g?start=683,Video,"A punch thrown with the stronger, power hand."
HOOK PUNCH,Striking Technique,3mPPMCa8Nxw?start=259&end=293,Video,A punch with the arm bent that is thrown across the body to strike the opponent from the side.
OVERHAND PUNCH,Striking Technique,LWE79K2Ii-s?start=350&end=362,Video,A powerful and effective haymaker-style punch that swings up and over.
UPPERCUT PUNCH,Striking Technique,FTZVZ-oeDJc?start=33,Video,A bent-arm punch where the punch is thrown straight up.
SUPERMAN PUNCH,Striking Technique,iMnKu2QcbhI?start=399,Video,An overhead punch in which the athlete leaps at his or her opponent in an attempt to avoid his or her defense.
BODY SHOT,Striking Technique,ZAoYBXp4D1U,Video,"Designed to strike the liver, it’s a painful, often debilitating punch or kick."
FLYING KNEE,Striking Technique,iMnKu2QcbhI?end=118,Video,A jumping knee strike designed to penetrate the opponent’s defense.
THAI CLINCH,Grappling Position,,Image,"A clinch position taken from Muay Thai boxing where an athlete will grab his or her opponent behind the head with both hands, using his or her elbows to create distance and apply knee strikes to their opponent."
GUARD,Grappling Position,,Image,A semi-defensive position in which an athlete on his or her back keeps an opponent between their legs.
OPEN GUARD,Grappling Position,,Image,A guard position in which the feet are not interlocked.
CLOSED GUARD,Grappling Position,,Image,When an athlete holds an opponent in their guard by interlocking his or her feet behind their opponent.
BUTTERFLY GUARD,Grappling Position,,Image,An open guard position in which the feet are hooked on the inside of the athlete’s legs.
